'date','symbol','open','high','low','close','Volume BTC','Volume BRL','tradecount'
'2022-02-17 00:00:00','BTC/BRL','226519.00000000','228090.00000000','209189.00000000','211547.00000000','243.29617000','53020438.84705000',19367
'2022-02-16 00:00:00','BTC/BRL','230861.00000000','231105.00000000','225101.00000000','226614.00000000','142.63456000','32475319.48685000',13438
'2022-02-15 00:00:00','BTC/BRL','223195.00000000','232788.00000000','222785.00000000','230793.00000000','205.11078000','47134968.23351000',17416
'2022-02-14 00:00:00','BTC/BRL','222785.00000000','224699.00000000','219558.00000000','223268.00000000','181.68850000','40470085.95286000',15675
'2022-02-13 00:00:00','BTC/BRL','223572.00000000','226708.00000000','222100.00000000','222925.00000000','58.65581000','13163640.17599000',6988
'2022-02-12 00:00:00','BTC/BRL','224287.00000000','227861.00000000','221171.00000000','223442.00000000','90.95029000','20388543.56784000',9098
'2022-02-11 00:00:00','BTC/BRL','229550.00000000','231351.00000000','221671.00000000','224445.00000000','267.51696000','60772730.51181000',18857
'2022-02-10 00:00:00','BTC/BRL','233630.00000000','239509.00000000','227851.00000000','229585.00000000','360.45166000','84239645.22453000',26616
'2022-02-09 00:00:00','BTC/BRL','233595.00000000','236278.00000000','228801.00000000','233783.00000000','226.19168000','52722150.10391000',18475
'2022-02-08 00:00:00','BTC/BRL','232851.00000000','241181.00000000','226543.00000000','233556.00000000','309.60975000','71675343.22348000',23628
'2022-02-07 00:00:00','BTC/BRL','227468.00000000','236600.00000000','223196.00000000','232633.00000000','279.25890000','64507117.83220000',29975
'2022-02-06 00:00:00','BTC/BRL','222387.00000000','228855.00000000','220900.00000000','227416.00000000','105.58972000','23636725.03255000',15649
'2022-02-05 00:00:00','BTC/BRL','222700.00000000','225100.00000000','220132.00000000','222535.00000000','165.35310000','36853867.28066000',21250
'2022-02-04 00:00:00','BTC/BRL','198920.00000000','223558.00000000','197412.00000000','222532.00000000','303.06318000','63717730.12566000',28203
'2022-02-03 00:00:00','BTC/BRL','196078.00000000','199034.00000000','192998.00000000','198700.00000000','201.57947000','39436941.24935000',21617
'2022-02-02 00:00:00','BTC/BRL','205495.00000000','206301.00000000','194650.00000000','196119.00000000','235.04209000','47260500.42099000',25877
'2022-02-01 00:00:00','BTC/BRL','205380.00000000','208687.00000000','203001.00000000','205436.00000000','253.39438000','52126591.06394000',26307
'2022-01-31 00:00:00','BTC/BRL','205980.00000000','206903.00000000','199360.00000000','205563.00000000','256.60251000','52226279.97516000',25791
'2022-01-30 00:00:00','BTC/BRL','207053.00000000','208000.00000000','203110.00000000','205989.00000000','77.75505000','16008136.85933000',14419
'2022-01-29 00:00:00','BTC/BRL','204447.00000000','210005.00000000','202874.00000000','207129.00000000','160.13675000','32866756.19568000',18218
'2022-01-28 00:00:00','BTC/BRL','202818.00000000','205952.00000000','196853.00000000','204459.00000000','242.99411000','48931666.63156000',21968
'2022-01-27 00:00:00','BTC/BRL','202452.00000000','203865.00000000','193790.00000000','202883.00000000','317.66220000','63163812.40560000',23245
'2022-01-26 00:00:00','BTC/BRL','203796.00000000','211900.00000000','199408.00000000','202294.00000000','396.15695000','81807251.25463000',29345
'2022-01-25 00:00:00','BTC/BRL','203344.00000000','206500.00000000','198341.00000000','203603.00000000','297.12269000','60360199.59979000',24737
'2022-01-24 00:00:00','BTC/BRL','200297.00000000','208700.00000000','182280.00000000','203538.00000000','462.20448700','88897368.90052700',36033
'2022-01-23 00:00:00','BTC/BRL','193997.00000000','201500.00000000','191320.00000000','200332.00000000','168.51754000','33060725.68012000',18696
'2022-01-22 00:00:00','BTC/BRL','200955.00000000','203091.00000000','187636.00000000','193970.00000000','439.79941000','85765010.24537800',36235
'2022-01-21 00:00:00','BTC/BRL','223067.00000000','225329.00000000','196207.00000000','201243.00000000','468.91983000','98135770.02902500',43962
'2022-01-20 00:00:00','BTC/BRL','229379.00000000','237185.00000000','222480.00000000','223103.00000000','206.21275000','47712421.58577000',21788
'2022-01-19 00:00:00','BTC/BRL','237451.00000000','238180.00000000','228535.00000000','229302.00000000','178.69234000','41498540.52825000',17817
'2022-01-18 00:00:00','BTC/BRL','235087.00000000','238888.00000000','229930.00000000','237617.00000000','149.00381000','34731372.19080000',16727
'2022-01-17 00:00:00','BTC/BRL','240930.00000000','241389.00000000','231579.00000000','235095.00000000','161.80780000','38104312.00232000',16812
'2022-01-16 00:00:00','BTC/BRL','240787.00000000','242845.00000000','238254.00000000','240932.00000000','56.54909000','13606081.68974000',9269
'2022-01-15 00:00:00','BTC/BRL','240200.00000000','244366.00000000','237882.00000000','240790.00000000','73.61198000','17747818.91588000',11295
'2022-01-14 00:00:00','BTC/BRL','237768.00000000','242299.00000000','232793.00000000','240222.00000000','147.46693000','35095101.41550000',17641
'2022-01-13 00:00:00','BTC/BRL','245191.00000000','247199.00000000','236500.00000000','237804.00000000','153.01490000','36965667.04755000',17571
'2022-01-12 00:00:00','BTC/BRL','240816.00000000','247383.00000000','239101.00000000','245374.00000000','173.79958000','42391519.74626000',22043
'2022-01-11 00:00:00','BTC/BRL','238815.00000000','243362.00000000','234498.00000000','240702.00000000','194.44573000','46556919.61690000',21558
'2022-01-10 00:00:00','BTC/BRL','238357.00000000','240300.00000000','227000.00000000','238772.00000000','320.26650000','75285972.41361000',26311
'2022-01-09 00:00:00','BTC/BRL','237742.00000000','243795.00000000','235000.00000000','238510.00000000','69.24601000','16578403.82886000',13013
'2022-01-08 00:00:00','BTC/BRL','236394.00000000','241179.00000000','231269.00000000','237640.00000000','132.79731000','31387131.30345000',17792
'2022-01-07 00:00:00','BTC/BRL','247419.00000000','247585.00000000','232300.00000000','236447.00000000','257.34872000','61593604.05485000',29998
'2022-01-06 00:00:00','BTC/BRL','250564.00000000','252796.00000000','245377.00000000','247430.00000000','291.89434000','72372214.30044000',31295
'2022-01-05 00:00:00','BTC/BRL','261954.00000000','268206.00000000','246591.00000000','250564.00000000','329.88205000','85322703.70348000',31423
'2022-01-04 00:00:00','BTC/BRL','264505.00000000','269269.00000000','260213.00000000','261969.00000000','213.13697000','56520983.45533000',21773
'2022-01-03 00:00:00','BTC/BRL','266571.00000000','268100.00000000','260258.00000000','264513.00000000','157.22630000','41616873.05813000',18507
'2022-01-02 00:00:00','BTC/BRL','268897.00000000','270307.00000000','263260.00000000','266630.00000000','77.81297000','20719980.20946000',11116
'2022-01-01 00:00:00','BTC/BRL','260570.00000000','270044.00000000','260544.00000000','268897.00000000','67.21252000','17842553.97036000',8662
'2021-12-31 00:00:00','BTC/BRL','265634.00000000','273059.00000000','257721.00000000','260593.00000000','151.47185000','40279969.42164000',17612
'2021-12-30 00:00:00','BTC/BRL','266975.00000000','280000.00000000','263500.00000000','265750.00000000','245.15260000','65727787.92696000',22902
'2021-12-29 00:00:00','BTC/BRL','270357.00000000','274941.00000000','264773.00000000','266975.00000000','175.65756000','47507198.26992000',22778
'2021-12-28 00:00:00','BTC/BRL','288339.00000000','288339.00000000','269171.00000000','270226.00000000','198.00528000','54841908.31523000',24512
'2021-12-27 00:00:00','BTC/BRL','290189.00000000','295785.00000000','287534.00000000','288378.00000000','160.98854000','46928135.79001000',20643
'2021-12-26 00:00:00','BTC/BRL','288492.00000000','292796.00000000','283013.00000000','290188.00000000','89.59030000','25758827.06769000',13128
'2021-12-25 00:00:00','BTC/BRL','290259.00000000','292315.00000000','286977.00000000','288356.00000000','80.86540000','23473793.44936000',10228
'2021-12-24 00:00:00','BTC/BRL','289592.00000000','296137.00000000','288732.00000000','290144.00000000','184.33703000','53749628.17728000',20026
'2021-12-23 00:00:00','BTC/BRL','277024.00000000','292132.00000000','274000.00000000','289531.00000000','235.46270000','66622524.53115000',23504
'2021-12-22 00:00:00','BTC/BRL','280500.00000000','283946.00000000','276870.00000000','277147.00000000','179.41989000','50299050.16059000',23379
'2021-12-21 00:00:00','BTC/BRL','269052.00000000','283214.00000000','267501.00000000','280520.00000000','289.05062000','80437164.07719000',26798
'2021-12-20 00:00:00','BTC/BRL','267093.00000000','272556.00000000','261100.00000000','268895.00000000','314.17007000','83340922.12797000',26306
'2021-12-19 00:00:00','BTC/BRL','267453.00000000','274769.00000000','261000.00000000','267103.00000000','125.34728000','33741602.73289000',14287
'2021-12-18 00:00:00','BTC/BRL','262968.00000000','269499.00000000','259301.00000000','267452.00000000','192.03441000','50897589.31635000',17153
'2021-12-17 00:00:00','BTC/BRL','273412.00000000','275335.00000000','260000.00000000','262968.00000000','405.17512000','108705691.68896000',31457
'2021-12-16 00:00:00','BTC/BRL','279294.00000000','283007.00000000','272432.00000000','273406.00000000','205.79360000','57128803.64268000',20260
'2021-12-15 00:00:00','BTC/BRL','276342.00000000','283949.00000000','267562.00000000','279309.00000000','276.32724000','76170915.76639000',26203
'2021-12-14 00:00:00','BTC/BRL','267644.00000000','278461.00000000','265000.00000000','276474.00000000','217.80902000','58850188.76087000',21552
'2021-12-13 00:00:00','BTC/BRL','283587.00000000','284312.00000000','261784.00000000','267626.00000000','299.05127000','81160492.56761000',24578
'2021-12-12 00:00:00','BTC/BRL','279639.00000000','287223.00000000','275800.00000000','283523.00000000','118.43177000','33417135.33733000',12997
'2021-12-11 00:00:00','BTC/BRL','267706.00000000','283000.00000000','265000.00000000','279662.00000000','145.34497000','39907301.86039000',15030
'2021-12-10 00:00:00','BTC/BRL','269098.00000000','281617.00000000','266193.00000000','267382.00000000','241.83696000','66008349.92650000',23061
'2021-12-09 00:00:00','BTC/BRL','283308.00000000','284663.00000000','267310.00000000','269257.00000000','256.99604000','70338292.71434000',25463
'2021-12-08 00:00:00','BTC/BRL','285741.00000000','288499.00000000','276054.00000000','283060.00000000','288.77193000','81685987.67644000',26223
'2021-12-07 00:00:00','BTC/BRL','290170.00000000','296305.00000000','282399.00000000','285478.00000000','235.80418000','68519082.76340000',25173
'2021-12-06 00:00:00','BTC/BRL','283675.00000000','292518.00000000','270949.00000000','290056.00000000','299.96130000','84069333.08152000',33502
'2021-12-05 00:00:00','BTC/BRL','283443.00000000','286900.00000000','274820.00000000','283748.00000000','184.72893000','52132640.41344000',23166
'2021-12-04 00:00:00','BTC/BRL','307712.00000000','309146.00000000','246101.00000000','283560.00000000','607.48690000','169729258.76102000',74952
'2021-12-03 00:00:00','BTC/BRL','322329.00000000','326999.00000000','298560.00000000','307857.00000000','318.48825000','100073030.35200000',35502
'2021-12-02 00:00:00','BTC/BRL','327616.00000000','327998.00000000','318225.00000000','322296.00000000','239.46243000','77346675.66648000',26788
'2021-12-01 00:00:00','BTC/BRL','323561.00000000','334395.00000000','320825.00000000','327616.00000000','279.71001000','91449006.47109000',31793
'2021-11-30 00:00:00','BTC/BRL','327714.00000000','333432.00000000','316672.00000000','323454.00000000','284.98617000','92960732.60161000',32519
'2021-11-29 00:00:00','BTC/BRL','324920.00000000','332952.00000000','320564.00000000','327891.00000000','212.34561000','69277674.97045000',25737
'2021-11-28 00:00:00','BTC/BRL','311447.00000000','325711.00000000','304334.00000000','324906.00000000','115.08806000','35933836.49358000',16481
'2021-11-27 00:00:00','BTC/BRL','305419.00000000','314900.00000000','304908.00000000','311503.00000000','109.99974000','34218075.73431000',18792
'2021-11-26 00:00:00','BTC/BRL','333500.00000000','334600.00000000','280000.00000000','305653.00000000','497.49580000','154906944.31340000',52405
'2021-11-25 00:00:00','BTC/BRL','324601.00000000','335499.00000000','323806.00000000','333410.00000000','265.58528000','87949676.11395000',35260
'2021-11-24 00:00:00','BTC/BRL','326243.00000000','326893.00000000','316400.00000000','324470.00000000','268.73689000','86238624.14344000',31269
'2021-11-23 00:00:00','BTC/BRL','319149.00000000','328734.00000000','314000.00000000','326041.00000000','254.46779000','82478239.43746000',27811
'2021-11-22 00:00:00','BTC/BRL','333735.00000000','334500.00000000','315612.00000000','319150.00000000','268.97058000','87225620.66974000',30630
'2021-11-21 00:00:00','BTC/BRL','339138.00000000','341113.00000000','332659.00000000','333811.00000000','102.46947000','34486190.73405000',16802
'2021-11-20 00:00:00','BTC/BRL','329169.00000000','339783.00000000','326767.00000000','339084.00000000','151.70920000','50622700.54543000',21932
'2021-11-19 00:00:00','BTC/BRL','321252.00000000','329492.00000000','314003.00000000','329119.00000000','360.25356000','116558505.45884000',37617
'2021-11-18 00:00:00','BTC/BRL','337045.00000000','340681.00000000','317695.00000000','321252.00000000','429.02250000','141023536.78875000',40975
'2021-11-17 00:00:00','BTC/BRL','335435.00000000','339998.00000000','327052.00000000','337047.00000000','363.73342000','121610485.90169000',38272
'2021-11-16 00:00:00','BTC/BRL','352446.00000000','352668.00000000','328580.00000000','335535.00000000','694.12264000','234628334.03660000',66727
'2021-11-15 00:00:00','BTC/BRL','361700.00000000','364991.00000000','351706.00000000','352446.00000000','189.48583000','68015273.95167000',23604
'2021-11-14 00:00:00','BTC/BRL','356644.00000000','361716.00000000','352250.00000000','361606.00000000','129.51966000','46248600.58593000',17303
'2021-11-13 00:00:00','BTC/BRL','354489.00000000','359460.00000000','350839.00000000','356600.00000000','157.31333000','55820644.83490000',21203
'2021-11-12 00:00:00','BTC/BRL','355540.00000000','358779.00000000','342546.00000000','354471.00000000','371.71615000','130431990.76800000',35583
'2021-11-11 00:00:00','BTC/BRL','362472.00000000','366000.00000000','354639.00000000','355541.00000000','336.94778000','120969072.26312000',36202
'2021-11-10 00:00:00','BTC/BRL','372043.00000000','379772.00000000','355500.00000000','362513.00000000','493.99766000','182677646.21353000',51000
'2021-11-09 00:00:00','BTC/BRL','376581.00000000','380870.00000000','366397.00000000','372048.00000000','406.34483200','152051677.75432900',44519
'2021-11-08 00:00:00','BTC/BRL','355024.00000000','379794.00000000','355024.00000000','376520.00000000','552.33154200','202809888.83867900',52600
'2021-11-07 00:00:00','BTC/BRL','345710.00000000','355071.00000000','345002.00000000','355023.00000000','191.37119000','66909881.93134000',22605
'2021-11-06 00:00:00','BTC/BRL','342834.00000000','346195.00000000','337858.00000000','345692.00000000','210.13514000','71832762.94348000',23328
'2021-11-05 00:00:00','BTC/BRL','348246.00000000','354452.00000000','339218.00000000','342868.00000000','397.77205000','137171217.10555000',36708
'2021-11-04 00:00:00','BTC/BRL','354043.00000000','354953.00000000','343001.00000000','348246.00000000','388.07626000','135067151.65158000',36465
'2021-11-03 00:00:00','BTC/BRL','360526.00000000','362179.00000000','343901.00000000','353906.00000000','368.35652000','131175238.72934000',35564
'2021-11-02 00:00:00','BTC/BRL','349259.00000000','367000.00000000','347521.00000000','360415.00000000','349.74169000','125316909.17077000',34554
'2021-11-01 00:00:00','BTC/BRL','349925.00000000','354936.00000000','340186.00000000','349086.00000000','334.97110000','117095426.10811000',29574
'2021-10-31 00:00:00','BTC/BRL','352577.00000000','355072.00000000','343169.00000000','349930.00000000','260.47347000','90769316.67665000',23850
'2021-10-30 00:00:00','BTC/BRL','354855.00000000','355381.00000000','347547.00000000','352560.00000000','269.27228000','94674859.69104000',24693
'2021-10-29 00:00:00','BTC/BRL','344767.00000000','357829.00000000','342593.00000000','354800.00000000','517.46503000','181477815.30717000',42141
'2021-10-28 00:00:00','BTC/BRL','329076.00000000','353296.00000000','326742.00000000','344778.00000000','632.80253000','216047754.36448000',47382
'2021-10-27 00:00:00','BTC/BRL','339371.00000000','344895.00000000','328500.00000000','328916.00000000','785.85490000','261854498.23757000',58269
'2021-10-26 00:00:00','BTC/BRL','353634.00000000','355000.00000000','337659.00000000','339252.00000000','475.16479000','165815160.63868000',38652
'2021-10-25 00:00:00','BTC/BRL','346316.00000000','359124.00000000','345289.00000000','353634.00000000','412.03327000','146094279.12109000',35377
'2021-10-24 00:00:00','BTC/BRL','348495.00000000','349422.00000000','339899.00000000','346194.00000000','297.99429000','102713199.74441000',23270
'2021-10-23 00:00:00','BTC/BRL','345006.00000000','351244.00000000','340000.00000000','348457.00000000','213.36580000','74117324.52177000',22257
'2021-10-22 00:00:00','BTC/BRL','352662.00000000','363756.00000000','341797.00000000','344913.00000000','550.19626000','193751335.63481000',43607
'2021-10-21 00:00:00','BTC/BRL','369649.00000000','371867.00000000','351200.00000000','352647.00000000','735.96991000','266010416.93433000',59542
'2021-10-20 00:00:00','BTC/BRL','359177.00000000','373000.00000000','355290.00000000','369749.00000000','687.51939000','251886294.63092300',56934
'2021-10-19 00:00:00','BTC/BRL','343456.00000000','360005.00000000','341788.00000000','359206.00000000','591.46282100','207269524.43762900',46144
'2021-10-18 00:00:00','BTC/BRL','339168.00000000','346415.00000000','332452.00000000','343483.00000000','462.18838200','157789003.42566200',37077
'2021-10-17 00:00:00','BTC/BRL','336052.00000000','339904.00000000','326400.00000000','339195.00000000','222.46986000','74571098.40551000',21351
'2021-10-16 00:00:00','BTC/BRL','339936.00000000','343000.00000000','332354.00000000','335905.00000000','260.31740000','87892908.86861000',25199
'2021-10-15 00:00:00','BTC/BRL','319255.00000000','345168.00000000','317850.00000000','339885.00000000','726.49793400','242128222.38618900',53424
'2021-10-14 00:00:00','BTC/BRL','318717.00000000','323501.00000000','316078.00000000','319255.00000000','445.50356300','142394631.01571300',30834
'2021-10-13 00:00:00','BTC/BRL','312989.00000000','321368.00000000','303969.00000000','318883.00000000','494.43470000','155463524.97970000',31100
'2021-10-12 00:00:00','BTC/BRL','320757.00000000','321221.00000000','302150.00000000','313011.00000000','352.66794000','110868125.33845000',25427
'2021-10-11 00:00:00','BTC/BRL','304045.00000000','322333.00000000','302735.00000000','320757.00000000','346.05789500','109397179.86157700',32733
'2021-10-10 00:00:00','BTC/BRL','304004.00000000','312200.00000000','300568.00000000','303972.00000000','228.17052300','69700277.48888600',20755
'2021-10-09 00:00:00','BTC/BRL','299856.00000000','306480.00000000','298501.00000000','304002.00000000','147.15413000','44605839.72565000',16569
'2021-10-08 00:00:00','BTC/BRL','297237.00000000','307310.00000000','295843.00000000','299624.00000000','404.28104400','122002745.62789000',31984
'2021-10-07 00:00:00','BTC/BRL','303981.00000000','303981.00000000','293900.00000000','297065.00000000','411.53440000','122922547.47685000',37011
'2021-10-06 00:00:00','BTC/BRL','282333.00000000','305999.00000000','276249.00000000','303990.00000000','641.62480500','189838653.09672500',58226
'2021-10-05 00:00:00','BTC/BRL','267582.00000000','284589.00000000','266615.00000000','282548.00000000','474.47430400','130302303.59677400',39176
'2021-10-04 00:00:00','BTC/BRL','258067.00000000','269000.00000000','253900.00000000','267531.00000000','394.23762000','103336099.98906000',29019
'2021-10-03 00:00:00','BTC/BRL','255863.00000000','263000.00000000','252687.00000000','258376.00000000','169.17803000','43632498.95358000',17374
'2021-10-02 00:00:00','BTC/BRL','258064.00000000','258398.00000000','253901.00000000','255985.00000000','145.81575000','37380736.96208000',17041
'2021-10-01 00:00:00','BTC/BRL','238397.00000000','260064.00000000','235043.00000000','258066.00000000','448.73094000','113271407.15791000',34045
'2021-09-30 00:00:00','BTC/BRL','227323.00000000','240138.00000000','226727.00000000','238201.00000000','317.24544000','74655559.14817000',22498
'2021-09-29 00:00:00','BTC/BRL','224358.00000000','231450.00000000','223094.00000000','227361.00000000','223.92600000','50879150.77054000',16436
'2021-09-28 00:00:00','BTC/BRL','228526.00000000','231480.00000000','223801.00000000','224191.00000000','230.74362000','52428182.24869000',15900
'2021-09-27 00:00:00','BTC/BRL','232437.00000000','237747.00000000','228201.00000000','228403.00000000','190.28615000','44434287.62778000',15039
'2021-09-26 00:00:00','BTC/BRL','230400.00000000','236413.00000000','220457.00000000','232507.00000000','147.24809000','34000816.54039000',12786
'2021-09-25 00:00:00','BTC/BRL','230642.00000000','231457.00000000','224727.00000000','230414.00000000','117.11179000','26860014.47898000',11612
'2021-09-24 00:00:00','BTC/BRL','239446.00000000','242266.00000000','219251.00000000','230666.00000000','329.63130000','75207955.95161000',26852
'2021-09-23 00:00:00','BTC/BRL','233091.00000000','240310.00000000','230569.00000000','239541.00000000','224.90197000','52930695.33475000',20490
